site,mm_code,WW,IB1,FB693,FB9301,FB1591,ULT,Si_remaining,SBB,N_TESTED,total_tested,yield_sdhmt%,SBB_sdhmt%,ULT_sdhmt%,IOE_chipping_sdhmt%,Si_remaining_sdhmt%,yield_loss_sdhmt%,WLA_site,test_end_ww,class_total_tested,class_8.0,class_10.0,class_15.0,class_53.0,class_97.0,class_98.0,class_99.0,class_36.0,class_1594.0,class_902.0,class_912.0,class_900.0,class_9.0_excluded,class_WIYL,class_sdhmt_sampling,class_SBB,class_Si_remaining,total_WLA_EYL,total_WLA_EY,total_SBB,total_Si_remainig,total_ULT,total_IOE_chipping
D1V,ARROW LAKE-BASE-H682,202501,10274,20641,1971,1,1,63,64,33022,10410,0.9869356388088376,0.006147934678194044,9.606147934678194e-05,9.606147934678194e-05,0.006051873198847263,0.013064361191162388,D1V,202501,194726.0,0.00034548131684062624,0.00042740127261762704,0.00034671729849978714,4.092442428104556e-05,5.2617116932772867e-05,0.00014223739152437894,0.0003930614258172375,0.0030939531880410324,1.7539038977590953e-05,0.0028039398950319935,0.0,0.0,0.0002844747830487579,0.00793080811263526,0.12160163511806334,0.004259897203316524,0.0028565570119647664,0.008555056560949527,0.9914449434390504,0.00448948564742581,0.003245112685008893,4.762918033263381e-05,2.7087496119945202e-05
D1V,ARROW LAKE-BASE-H682,202502,45475,89470,8275,1,5,98,634,144001,46256,0.9831157039086821,0.013706329989622968,0.00010809408509166379,2.1618817018332758e-05,0.00211864406779661,0.01688429609131792,D1V,202502,215020.0,0.0005434139942849294,0.0005453691379797138,0.000662152403993311,0.00013568804275217102,6.2625250501002e-05,0.0005492794253692824,0.00022446779989649442,0.003172366031841499,1.56563126252505e-05,0.002716026416147335,0.0,0.0,0.0006099495321755001,0.009221338034941238,0.10884568877313738,0.004485616964002637,0.0027786516666483373,0.01005541798262722,0.9899445820173728,0.0054892518242557215,0.0027068126849558163,0.00013268455942463633,1.6305305522728394e-05
D1V,ARROW LAKE-BASE-H682,202503,22699,37307,4175,0,3,199,568,64999,23517,0.965216651783816,0.02415274057065102,0.00012756729174639623,0.0,0.008461963685844284,0.03478334821618401,D1V,202503,166192.0,0.0008662588712032632,7.862469944738988e-05,0.004556976956750157,7.279609812914028e-05,4.632478971854381e-05,0.00017834309214964064,0.001492810261682988,0.0029448203141382284,1.3235654205298232e-05,0.0014080100125156445,6.0171368056224125e-06,0.0,0.00017161251850636303,0.01181657761424136,0.0907685087128141,0.005382514146471869,0.0014543348022341882,0.013901237131728994,0.986098762868271,0.007086259607196468,0.002090406825612319,7.776759769419942e-05,1.2034273611244825e-05
D1V,ARROW LAKE-BASE-H682,202504,6453,12967,988,0,1,4,27,20482,6527,0.9886624789336602,0.004136663091772637,0.00015320974413972729,0.0,0.0006128389765589091,0.011337521066339784,D1V,202504,197731.0,0.00048457518066049254,0.0002710341114593825,0.00045956903938734425,0.00012588041360707327,6.593735950846696e-05,3.0036889144790206e-05,0.0011317809525330665,0.002859414404694496,5.994305409860632e-06,0.0014211226363089247,0.0,0.0,0.0003058403000938664,0.007155191287397904,0.15630326049026202,0.004746804649347437,0.0014870599958173916,0.007808903068292037,0.9921910969317079,0.004651437534537889,0.0013504164001181707,0.00013015207707634316,5.057375929924999e-06
D1V,ARROW LAKE-BASE-H682,202505,10537,21095,1735,0,0,15,55,33440,10610,0.993119698397738,0.0051837888784165885,0.0,0.0,0.001413760603204524,0.006880301602262051,D1V,202505,212482.0,0.0012628525066735326,0.0007891685311334257,0.0011116255905162951,0.0002605034380395602,2.7376273239346795e-05,0.00017323068313248655,0.001209353843107463,0.003083233177668276,6.058219489292097e-06,0.0024331472783576964,4.706281002626105e-06,0.0,0.00014116761685423592,0.010491658938722318,0.223157726301522,0.006344608058582697,0.0024605235515970433,0.009685756646655524,0.9903142433533445,0.006085562289689632,0.0022269303120570913,0.00020237008311292253,4.706281002626105e-06
D1V,ARROW LAKE-BASE-H682,202506,9552,16188,1441,0,1,24,57,27379,9750,0.9796923076923076,0.005846153846153846,0.00010256410256410256,0.0,0.0024615384615384616,0.02030769230769236,D1V,202506,100893.0,0.0019748995205746225,0.0006370092519019312,0.0006638713977882233,4.8650555224461496e-05,2.4325277612230748e-05,7.533880025602322e-05,0.003440563930745916,0.003522091517225336,1.2162638806115374e-05,0.0033897297136570425,0.0,0.0,-4.6461488659860814e-05,0.013730018476325928,0.18508717155798718,0.009574564220447807,0.0034140549912692734,0.014947461521204531,0.9850525384787955,0.008884483289862282,0.003237756400919168,5.862926121021331e-05,9.911490390810066e-06
D1V,ARROW LAKE-BASE-H682,202507,9058,18265,1441,0,1,18,55,28842,9136,0.9914623467600701,0.006020140105078809,0.00010945709281961471,0.0,0.001970227670753065,0.008537653239929943,D1V,202507,115382.0,0.0011527322283017235,0.0006269158929265098,0.0005258200158270224,8.089142348682481e-05,0.0,-0.00011120730503534049,0.004398802392758885,0.00353901449935582,1.0111427935853102e-05,0.0019587110641174532,0.0,0.0,0.00021235470846015005,0.01238403492019905,0.1428645715969562,0.009717465013342938,0.0019587110641174532,0.011834523249249022,0.988165476750751,0.009189248274269028,0.0019603563791907004,8.497244559843415e-05,8.666863115563953e-06
D1V,ARROW LAKE-BASE-H682,202510,374,0,24,0,0,1,7,418,394,0.949238578680203,0.017766497461928935,0.0,0.0,0.0025380710659898475,0.050761421319796995,D1V,202510,156730.0,0.0012300124493413577,0.0002629020523384554,-0.00032175008032406856,0.00010662198697688587,3.682719536135197e-05,-0.00014459792603835404,0.0008937540506039569,0.001960812638067816,0.0,0.0020927710074650674,0.0,0.0,0.00014230043863812164,0.00625965381243059,0.16222165507560773,0.004347481190351586,0.002129598202826419,0.013478804191265471,0.9865211958087345,0.006524336219413375,0.002195861346742263,8.932559178204556e-05,0.0
D1V,ARROW LAKE-BASE-H682,202511,8228,16431,1208,0,1,10,35,25916,8277,0.9940799806693247,0.00422858523619669,0.00012081672103419114,0.0,0.0012081672103419112,0.005920019330675319,D1V,202511,16083.0,0.001128850185453959,-0.0003312029883972496,0.0002840854204050219,0.0,8.063215610385422e-05,-0.00019103315223627075,-0.0017031325099784757,0.0024909224752376483,8.063215610385422e-05,0.005595970900951315,0.0,0.0,-0.0002505708322933953,0.007104521655246406,0.22887520984890877,0.0015854371623158824,0.005676603057055169,0.006833418437143678,0.9931665815628563,0.002190388232387091,0.004653888864942286,2.7651952379957568e-05,6.217745445501462e-05
D1V,ARROW LAKE-BASE-H682,202512,14927,11301,2503,0,0,37,68,28842,15038,0.992618699295119,0.004521877909296449,0.0,0.0,0.002460433568293656,0.0073813007048809665,D1V,202512,4933.0,0.0,0.0,0.002387296812759859,0.0,0.00014849084261060524,0.0004975124378109452,0.0005457379041266834,0.0052238805970149255,0.0,0.003040745996351105,0.0,0.0,-0.0015445772234119652,0.010299087367262157,0.1850800729779039,0.005769618501141609,0.0031892368389617102,0.009759063198854692,0.9902409368011453,0.005538686581345414,0.003054349876439932,0.0,0.0
