site,mm_code,IB1,FB693,FB9301,FB1591,ULT,Si_remaining,SBB,N_TESTED,total_tested,yield_sdhmt%,SBB_sdhmt%,ULT_sdhmt%,IOE_chipping_sdhmt%,Si_remaining_sdhmt%,yield_loss_sdhmt%,WLA_site,class_total_tested,class_8.0,class_10.0,class_15.0,class_53.0,class_97.0,class_98.0,class_99.0,class_36.0,class_1594.0,class_902.0,class_912.0,class_900.0,class_9.0_excluded,class_WIYL,class_sdhmt_sampling,class_SBB,class_Si_remaining,total_WLA_EYL,total_WLA_EY,total_SBB,total_Si_remaining,total_ULT,total_IOE_chipping
D1V,ARROW LAKE-BASE-H682,187710,341047,33083,2,16,554,2183,564927,190797,0.9838205003223321,0.011441479687835763,8.385876088198452e-05,1.0482345110248065e-05,0.002903609595538714,0.016179499677667852,D1V,2199663.0,0.0007656798269347153,0.0003608160728281062,0.00101808010353094,0.00010228035663667072,3.4712484286317214e-05,0.00011937751030788627,0.0011391805300039613,0.002954492039563676,1.2795468698018409e-05,0.0020280379312649257,1.3638452799360629e-06,0.0,0.00021058175352179167,0.008733238608878991,0.1472948356180015,0.005220168469330459,0.002062750415551243,0.00983003440897497,0.990169965591025,0.006136535482588626,0.0021866046302453854,9.956695071816293e-05,1.2454757539393654e-05
D1V,ARROW LAKE-BASE-P281,1273165,2030941,202488,31,75,4193,27382,3540456,1307027,0.9740923485130759,0.020949835007233974,5.738213518159916e-05,2.371794920839432e-05,0.00320804390421927,0.025907651486924088,D1V,4173327.0,0.00012646276514433053,0.0004804669282249075,0.0003870560148132316,4.0526701074907e-05,2.394110159079532e-06,4.409474631677757e-05,0.0011440508796652594,0.002425291387111045,1.0366443754685799e-05,0.002227239801721744,0.0,0.0,0.00018842242619549995,0.007066005760426781,0.2834450787105827,0.0041762719601455426,0.0022296339118808234,0.012406577516410725,0.9875934224835893,0.008930655858284444,0.002506959409170415,4.5304290921979404e-05,1.4150862268916985e-05
D1V,ARROW LAKE-BASE-S816,657800,856032,100051,612,4030,3443,5101,1628430,672347,0.9783638508091804,0.007586856191817618,0.005993928730253872,0.0009102442637507121,0.005120867647211931,0.021636149190819576,D1V,2149297.0,0.0005299182246408468,0.0004850662387397063,0.000310045970215205,0.0007463420751629975,0.0022654386992857264,0.0007655490603499628,0.0034290165355551116,0.003910421908356446,8.164292467562283e-05,0.0,0.0008840099809379532,0.0,9.316452048400791e-05,0.013418973213727967,0.19794518858957139,0.00835442290729211,0.0031494486802236795,0.015045523662187062,0.984954476337813,0.008202486769042434,0.003539681579433227,0.0017850766052450787,0.0002456605730044128
D1V,LUNAR LAKE-BASE-M442,34856,63664,8788,0,2,82,102,107590,35138,0.9919745005407251,0.002902840229950481,5.691843588138198e-05,0.0,0.002333655871136661,0.008025499459274887,D1V,7611.0,0.0006031363088057901,0.0012062726176115801,-0.00038427607008949087,0.0,-0.0012889805332981761,0.00015078407720144752,0.00018482215795887326,0.0003356062351603209,0.0,0.0,0.0,0.010379713572460912,0.0,0.011187078365811258,0.12862961503087636,0.0023298373195365643,0.009090733039162736,0.010780405688173745,0.9892195943118263,0.002403542463314678,0.008221572804305619,7.321396495581784e-06,0.0
D1V,METEOR LAKE-BASE-P281,146012,245960,23384,3,9,375,507,416664,147320,0.9911213684496335,0.0034414879174585935,6.109150149334781e-05,2.0363833831115938e-05,0.0025454792288894922,0.0088786315503665,D1V,1637294.0,0.00017472159669039205,0.00026959771892316265,0.00015981373401190814,1.0855016260625798e-05,-3.3002385744048188e-06,4.044358524294461e-06,0.0007760356222029933,0.0021343888117085486,4.0443585242944613e-05,0.002616512367357359,0.0,0.0,1.839245865183092e-05,0.00616106144575671,0.09390250010077604,0.003354743749525097,0.002613212128782954,0.0064162480727786965,0.9935837519272213,0.0033628892437632136,0.0026068518401438827,1.557234782025411e-05,3.855804638397182e-05
D1V,METEOR LAKE-BASE-P682,380,0,32,0,0,5,14,432,400,0.95,0.035,0.0,0.0,0.0125,0.050000000000000044,D1V,586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00205761316872428,0.0,0.06996587030716724,0.0,0.0,-0.006172839506172839,0.06173541763227011,0.8293515358361775,-0.00205761316872428,0.06996587030716724,0.05200263099526797,0.9479973690047321,0.028676175227180162,0.0223064625097555,0.0,0.0
F21,ARROW LAKE-BASE-H682,494392,783609,69106,1484,45,1862,2587,1354320,501605,0.9856201592886833,0.005157444602824932,8.971202440167064e-05,0.0029585032047128716,0.003712084209686905,0.014379840711316705,F21,2486729.0,0.00037551330210746975,0.0004509734049101902,0.001229510070190138,0.00016463506234198655,0.00018241056276231747,4.163371088306125e-05,0.0009851316767537214,0.002261102834453954,0.0007713012151824828,0.003173646987669344,4.0213469179794017e-07,0.0,0.00019888905223043992,0.009063446664302623,0.11852276625237411,0.004072721218225335,0.003356057550431661,0.009693560393242385,0.9903064396067576,0.0042012856343867176,0.003398254814946184,0.00015575497662926872,0.0010305344453343207
F21,ARROW LAKE-BASE-P281,477821,802230,66110,713,1132,1647,4882,1355754,487414,0.9803185792775752,0.010016125921701058,0.0023224609879896763,0.0014628221593963242,0.0033790576388860395,0.019681420722424847,F21,603755.0,0.00033260052108942314,0.0003275523044876444,0.00015237586868981355,4.404908575273994e-05,1.1941948068033623e-05,-1.010046732057582e-05,0.0004943625186389205,0.0018040678341584614,8.598283291324578e-05,0.0007370539374415119,0.0,0.0,0.00033444200183688097,0.004228345552842854,0.32578943445602937,0.002958583178374449,0.0007489958855095455,0.009262794172947482,0.9907372058270525,0.005257856037372079,0.0016058422167265067,0.0007863316108403976,0.0005345425384249882
F21,ARROW LAKE-BASE-S816,717006,964911,114583,1798,1808,3665,21973,1829124,749630,0.9564798633992769,0.029311793818283687,0.002411856515881168,0.002398516601523418,0.0048890786121153105,0.04352013660072307,F21,3689544.0,0.0010873175718737276,0.0003501662025706247,0.0007156509624270928,0.00022231581911477978,0.002187822440713626,0.001005037919782938,0.006508784052893352,0.004234955819929514,4.4153040046803224e-05,0.0,0.0038123952445071802,0.0,0.0002307766566371808,0.020355222690450023,0.13990428085421938,0.012181223647267219,0.006000217685220806,0.023596093312116675,0.9764039066878833,0.01457786374766602,0.005844764572268958,0.0005286419356969278,0.0003735385809845678
F21,LUNAR LAKE-BASE-M442,821400,1293224,136626,40,701,2882,2554,2258860,829010,0.9908203761112653,0.0030807831027369996,0.0008455869048624263,4.825032267403288e-05,0.003476435748664069,0.009179623888734723,F21,3983350.0,0.0002471817892909852,0.0006625116776940125,0.0003025615793382119,0.0003341925780982686,0.0003039193954152387,-9.400208582025632e-07,0.0002980969645786653,0.00043269698608020354,0.0,5.020899494144376e-07,0.0,0.0014286969510587822,8.545068256581055e-07,0.004009772407521824,0.11863205593282036,0.0016404874176438665,0.0017326163464740209,0.004623082517605446,0.9953769174823945,0.0018113526559176349,0.0019394892273313681,0.0003948603384746812,5.724034978242499e-06
